('error', 0.09504144754477116)
('output', -0.09504144754477116)
('error', 0.09742694338090888)
('output', -0.09742694338090888)
('error', 0.09895780734575145)
('output', -0.09895780734575145)
('error', 0.09881431686385765)
('output', -0.09881431686385765)
('error', 0.1040467238302141)
('output', -0.1040467238302141)
('error', 0.10073883942346357)
('output', -0.10073883942346357)
('error', 0.09643439329674555)
('output', -0.09643439329674555)
('error', 0.09852435084657894)
('output', -0.09852435084657894)
('error', 0.10026910365222057)
('output', -0.10026910365222057)
('error', 0.09462364308628657)
('output', -0.09462364308628657)
('error', 0.09199543303524539)
('output', -0.09199543303524539)
('error', 0.08809239846806946)
('output', -0.08809239846806946)
('error', 0.08544708441844888)
('output', -0.08544708441844888)
('error', 0.08859919229522646)
('output', -0.08859919229522646)
('error', 0.08740796423672151)
('output', -0.08740796423672151)
('error', 0.0864627746598809)
('output', -0.0864627746598809)
('error', 0.08739952635345358)
('output', -0.08739952635345358)
('error', 0.08810486077908856)
('output', -0.08810486077908856)
('error', 0.08798823572415124)
('output', -0.08798823572415124)
('error', 0.08942484493664699)
('output', -0.08942484493664699)
('error', 0.09041063599889755)
('output', -0.09041063599889755)
('error', 0.09005089440211449)
('output', -0.09005089440211449)
('error', 0.09166008793874936)
('output', -0.09166008793874936)
('error', 0.09100884834641734)
('output', -0.09100884834641734)
('error', 0.09184466633700893)
('output', -0.09184466633700893)
('error', 0.0906314014655347)
('output', -0.0906314014655347)
('error', 0.09245094471865545)
('output', -0.09245094471865545)
('error', 0.09203104747906427)
('output', -0.09203104747906427)
('error', 0.09274471730292803)
('output', -0.09274471730292803)
('error', 0.09242325767237958)
('output', -0.09242325767237958)
('error', 0.09321084156492362)
('output', -0.09321084156492362)
('error', 0.09321156290603351)
('output', -0.09321156290603351)
('error', 0.09268119943767354)
('output', -0.09268119943767354)
('error', 0.09333027385911431)
('output', -0.09333027385911431)
('error', 0.09669922188674629)
('output', -0.09669922188674629)
('error', 0.0969415479304521)
('output', -0.0969415479304521)
('error', 0.09507835798625516)
('output', -0.09507835798625516)
('error', 0.09731834601830625)
('output', -0.09731834601830625)
('error', 0.09815706874015331)
('output', -0.09815706874015331)
('error', 0.0969496534784842)
('output', -0.0969496534784842)
('error', 0.09525637363042866)
('output', -0.09525637363042866)
('error', 0.09230395166469522)
('output', -0.09230395166469522)
('error', -0.10867291998004365)
('output', 0.10867291998004365)
('error', -0.10348616254878673)
('output', 0.10348616254878673)
('error', -0.10436106420630244)
('output', 0.10436106420630244)
('error', -0.10310075875252074)
('output', 0.10310075875252074)
('error', -0.10783789573264144)
('output', 0.10783789573264144)
('error', -0.11017542344368011)
('output', 0.11017542344368011)
('error', -0.11396941957375505)
('output', 0.11396941957375505)
('error', -0.1145241832334924)
('output', 0.1145241832334924)
('error', -0.11550381302132699)
('output', 0.11550381302132699)
('error', -0.11486780103949763)
('output', 0.11486780103949763)
('error', -0.11401194076486493)
('output', 0.11401194076486493)
('error', -0.11162347527282301)
('output', 0.11162347527282301)
('error', -0.10973854858454571)
('output', 0.10973854858454571)
('error', -0.10675301781104041)
('output', 0.10675301781104041)
('error', -0.10669951907653052)
('output', 0.10669951907653052)
('error', -0.10565282759232011)
('output', 0.10565282759232011)
('error', -0.10430946270414597)
('output', 0.10430946270414597)
('error', -0.10375898163495184)
('output', 0.10375898163495184)
('error', -0.10389875028282006)
('output', 0.10389875028282006)
('error', -0.10473805758837082)
('output', 0.10473805758837082)
('error', -0.10479520081154756)
('output', 0.10479520081154756)
('error', -0.10540783270560244)
('output', 0.10540783270560244)
('error', -0.1063429285575403)
('output', 0.1063429285575403)
('error', -0.10835421842880871)
('output', 0.10835421842880871)
('error', -0.10778478336127037)
('output', 0.10778478336127037)
('error', -0.10693035474733296)
('output', 0.10693035474733296)
('error', -0.10680167434511811)
('output', 0.10680167434511811)
('error', -0.10728048664525164)
('output', 0.10728048664525164)
('error', -0.10701445912669455)
('output', 0.10701445912669455)
('error', -0.10746229406193208)
('output', 0.10746229406193208)
('error', -0.10910069711619695)
('output', 0.10910069711619695)
('error', -0.10847261078540413)
('output', 0.10847261078540413)
('error', -0.10917859762414911)
('output', 0.10917859762414911)
('error', -0.11184809364127266)
('output', 0.11184809364127266)
('error', -0.11292730701167109)
('output', 0.11292730701167109)
('error', -0.11308280907109072)
('output', 0.11308280907109072)
('error', -0.11276954129101519)
('output', 0.11276954129101519)
('error', -0.11084466191715807)
('output', 0.11084466191715807)
('error', 0.10331756917065839)
('output', -0.10331756917065839)
('error', 0.10579245372388854)
('output', -0.10579245372388854)
('error', 0.10557816631013309)
('output', -0.10557816631013309)
('error', 0.1051372664153894)
('output', -0.1051372664153894)
('error', 0.1036272534940415)
('output', -0.1036272534940415)
('error', 0.10291918494981975)
('output', -0.10291918494981975)
('error', 0.10311836021173154)
('output', -0.10311836021173154)
('error', 0.10346347579185755)
('output', -0.10346347579185755)
('error', 0.10565740295509324)
('output', -0.10565740295509324)
('error', 0.10654647841444995)
('output', -0.10654647841444995)
('error', 0.1059317129916736)
('output', -0.1059317129916736)
('error', 0.10515514348301339)
('output', -0.10515514348301339)
('error', 0.10427939184723703)
('output', -0.10427939184723703)
('error', 0.1039254750802024)
('output', -0.1039254750802024)
('error', 0.10533201337406325)
('output', -0.10533201337406325)
('error', 0.10558178871689637)
('output', -0.10558178871689637)
('error', 0.10500089203274555)
('output', -0.10500089203274555)
('error', 0.10478092960651107)
('output', -0.10478092960651107)
('error', 0.1084094769248987)
('output', -0.1084094769248987)
('error', 0.10847317609911925)
('output', -0.10847317609911925)
('error', 0.10807090320681337)
('output', -0.10807090320681337)
('error', 0.10845760379880993)
('output', -0.10845760379880993)
('error', 0.10841961920733786)
('output', -0.10841961920733786)
('error', 0.10942269354159198)
('output', -0.10942269354159198)
('error', 0.11126817017414439)
('output', -0.11126817017414439)
('error', 0.11243318582494993)
('output', -0.11243318582494993)
('error', 0.1118874805355993)
('output', -0.1118874805355993)
('error', 0.11200248471251692)
('output', -0.11200248471251692)
('error', 0.11227490561275572)
('output', -0.11227490561275572)
('error', 0.11418155429922369)
('output', -0.11418155429922369)
('error', 0.11535328483159649)
('output', -0.11535328483159649)
('error', 0.11656728807270408)
('output', -0.11656728807270408)
('error', 0.1173663080667447)
('output', -0.1173663080667447)
('error', 0.11871778727699808)
('output', -0.11871778727699808)
('error', 0.12051246948848902)
('output', -0.12051246948848902)
('error', 0.12318136289442158)
('output', -0.12318136289442158)
('error', 0.12191788180467378)
('output', -0.12191788180467378)
('error', 0.12222851764767494)
('output', -0.12222851764767494)
('error', 0.12222319114786864)
('output', -0.12222319114786864)
('error', 0.12072379772347272)
('output', -0.12072379772347272)
('error', 0.11999637499565097)
('output', -0.11999637499565097)
('error', 0.12014522895452834)
('output', -0.12014522895452834)
('error', 0.12014620720684333)
('output', -0.12014620720684333)
('error', 0.11951548707471873)
('output', -0.11951548707471873)
('error', 0.119114356145376)
('output', -0.119114356145376)
('error', 0.11695068798987657)
('output', -0.11695068798987657)
('error', 0.11716812585886288)
('output', -0.11716812585886288)
('error', 0.11571331281388106)
('output', -0.11571331281388106)
('error', 0.1161756804089028)
('output', -0.1161756804089028)
('error', 0.11354567687065241)
('output', -0.11354567687065241)
('error', -0.08780087080556218)
('output', 0.08780087080556218)
('error', -0.09096278780071688)
('output', 0.09096278780071688)
